explainer,category,metric,corruption,severity,q_clean_mean,q_shifted_mean,delta_q_signed_mean,delta_q_signed_sd,delta_q_abs_mean,delta_q_abs_sd,delta_e_mean,delta_e_sd,n_seeds,slice
GradCAM,complexity,sparseness,brightness,1,0.36318928791770344,0.36359559612903525,0.00040630821133184056,0.0015322773220539172,0.0012259921063320855,0.0008218338876802259,0.03068403005599969,0.00441698047446831,5,both_corr
GradCAM,complexity,sparseness,brightness,2,0.36318928791770344,0.36228277386502117,-0.0009065140526822613,0.0014567680553536442,0.0015026535614921176,0.0005717719557705482,0.08088537454605102,0.00854999335129302,5,both_corr
GradCAM,complexity,sparseness,brightness,3,0.36318928791770344,0.3616002545417889,-0.0015890333759145392,0.002148961891322717,0.002136320354717158,0.0014385722870598817,0.13726539611816407,0.012631036241770246,5,both_corr
GradCAM,complexity,sparseness,brightness,5,0.36318928791770344,0.3628883032674368,-0.0003009846502666336,0.004512847139892358,0.003550428876720002,0.0021730387702122854,0.32671667337417604,0.018732772032067316,5,both_corr
GradCAM,complexity,sparseness,fog,1,0.36318928791770344,0.36230365883066284,-0.0008856290870406069,0.0020380962257793805,0.0018516202784091607,0.0009212153689727539,0.07566902637481691,0.003951034444079332,5,both_corr
GradCAM,complexity,sparseness,fog,2,0.36318928791770344,0.3627216299670737,-0.000467657950629774,0.004536840181174889,0.004010334373914071,0.0008676528912883863,0.22627288103103638,0.011531783834860173,5,both_corr
GradCAM,complexity,sparseness,fog,3,0.36318928791770344,0.3629320933195224,-0.000257194598181032,0.005180000930682541,0.004464124602903352,0.0014158338111268948,0.34257701635360716,0.025430599501538417,5,both_corr
GradCAM,complexity,sparseness,fog,5,0.36318928791770344,0.36300734286195013,-0.00018194505575330755,0.0029709926589759398,0.002414110683249748,0.001258278345639215,0.6735584497451782,0.025714854061450333,5,both_corr
GradCAM,complexity,sparseness,gaussian_noise,1,0.36318928791770344,0.36335720629342483,0.00016791837572136537,0.0020140009205518116,0.001771993370571523,0.0004080377463273327,0.3473779559135437,0.018840330415451575,5,both_corr
GradCAM,complexity,sparseness,gaussian_noise,2,0.36318928791770344,0.36607945095441363,0.002890163036710203,0.0016216757942775068,0.002890163036710203,0.0016216757942775068,0.5683467984199524,0.02736927970339912,5,both_corr
GradCAM,complexity,sparseness,gaussian_noise,3,0.36318928791770344,0.3646536528028711,0.0014643648851676238,0.0026748696665123382,0.001930664892366496,0.0022750933432932256,0.7026496589183807,0.025207645256792116,5,both_corr
GradCAM,complexity,sparseness,gaussian_noise,5,0.36318928791770344,0.3676315945652767,0.00444230664757328,0.0038526588846030546,0.004444960565628686,0.003848830716264413,0.7812532901763916,0.026899464555035914,5,both_corr
GradCAM,faithfulness,corr,brightness,1,0.00816099852516052,0.006795736952998099,-0.0013652615721624194,0.007800220019007459,0.00625708436869354,0.0037728603604251874,0.03068403005599969,0.00441698047446831,5,both_corr
GradCAM,faithfulness,corr,brightness,2,0.00816099852516052,0.01443017725553184,0.006269178730371321,0.006362872141783201,0.00700529097285744,0.005317120208943796,0.08088537454605102,0.00854999335129302,5,both_corr
GradCAM,faithfulness,corr,brightness,3,0.00816099852516052,0.011690453688727901,0.0035294551635673805,0.008849033601167192,0.007064707774466781,0.005611514317977128,0.13726539611816407,0.012631036241770246,5,both_corr
GradCAM,faithfulness,corr,brightness,5,0.00816099852516052,0.01816725485847722,0.0100062563333167,0.009324603255547492,0.0100062563333167,0.009324603255547492,0.32671667337417604,0.018732772032067316,5,both_corr
GradCAM,faithfulness,corr,fog,1,0.00816099852516052,0.010637673864206939,0.0024766753390464196,0.01372022401094419,0.00832816846121818,0.010450548331607001,0.07566902637481691,0.003951034444079332,5,both_corr
GradCAM,faithfulness,corr,fog,2,0.00816099852516052,0.01708636026724674,0.008925361742086222,0.0035255735058090537,0.008925361742086222,0.0035255735058090537,0.22627288103103638,0.011531783834860173,5,both_corr
GradCAM,faithfulness,corr,fog,3,0.00816099852516052,0.009960859381816501,0.0017998608566559804,0.005170787577534174,0.00280687984629494,0.004575827789779009,0.34257701635360716,0.025430599501538417,5,both_corr
GradCAM,faithfulness,corr,fog,5,0.00816099852516052,0.01818045117289364,0.010019452647733119,0.008528976098363103,0.010019452647733119,0.008528976098363103,0.6735584497451782,0.025714854061450333,5,both_corr
GradCAM,faithfulness,corr,gaussian_noise,1,0.00816099852516052,0.012267181752003021,0.004106183226842501,0.00817903562305019,0.006246309006708579,0.0062611563891597916,0.3473779559135437,0.018840330415451575,5,both_corr
GradCAM,faithfulness,corr,gaussian_noise,2,0.00816099852516052,0.01389606901789516,0.0057350704927346405,0.011304796259451749,0.00760106725531232,0.009833205537299737,0.5683467984199524,0.02736927970339912,5,both_corr
GradCAM,faithfulness,corr,gaussian_noise,3,0.00816099852516052,0.01803472213210854,0.00987372360694802,0.01308764299185272,0.01233524014390786,0.010146513423602704,0.7026496589183807,0.025207645256792116,5,both_corr
GradCAM,faithfulness,corr,gaussian_noise,5,0.00816099852516052,0.01958392120870598,0.011422922683545462,0.017324706913791912,0.01450237573720858,0.014154532680828464,0.7812532901763916,0.026899464555035914,5,both_corr
IG,complexity,sparseness,brightness,1,0.6035112058992702,0.6016059544786787,-0.0019052514205914139,0.0007136587898688129,0.0019052514205914139,0.0007136587898688129,0.15998739004135132,0.00172528249630652,5,both_corr
IG,complexity,sparseness,brightness,2,0.6035112058992702,0.5998795972958249,-0.0036316086034453576,0.0012635851411370571,0.0036316086034453576,0.0012635851411370571,0.32395931482315066,0.0026889535944893423,5,both_corr
IG,complexity,sparseness,brightness,3,0.6035112058992702,0.5988621701081674,-0.004649035791102651,0.001662149722138193,0.004649035791102651,0.001662149722138193,0.4640782833099365,0.004003011758068796,5,both_corr
IG,complexity,sparseness,brightness,5,0.6035112058992702,0.593871571428069,-0.009639634471201197,0.002207579833534096,0.009639634471201197,0.002207579833534096,0.7201931297779083,0.002434534782352413,5,both_corr
IG,complexity,sparseness,fog,1,0.6035112058992702,0.6064037895576433,0.0028925836583731934,0.00026795066420477824,0.0028925836583731934,0.00026795066420477824,0.1559840679168701,0.0029284325231166246,5,both_corr
IG,complexity,sparseness,fog,2,0.6035112058992702,0.6130487848017274,0.009537578902457189,0.0004440021284816081,0.009537578902457189,0.0004440021284816081,0.3167647957801819,0.005841354497392563,5,both_corr
IG,complexity,sparseness,fog,3,0.6035112058992702,0.6188356937990366,0.015324487899766436,0.001272037058545805,0.015324487899766436,0.001272037058545805,0.4321539282798767,0.007067935277472944,5,both_corr
IG,complexity,sparseness,fog,5,0.6035112058992702,0.6280994545381474,0.024588248638877253,0.0011767342929255254,0.024588248638877253,0.0011767342929255254,0.6741124033927918,0.0033266682351705914,5,both_corr
IG,complexity,sparseness,gaussian_noise,1,0.6035112058992702,0.5968383515782335,-0.006672854321036636,0.001636176312070888,0.006672854321036636,0.001636176312070888,0.5026425361633301,0.00628498107799309,5,both_corr
IG,complexity,sparseness,gaussian_noise,2,0.6035112058992702,0.5920554779614958,-0.01145572793777434,0.0014530218820531739,0.01145572793777434,0.0014530218820531739,0.5777224540710449,0.004612445330177367,5,both_corr
IG,complexity,sparseness,gaussian_noise,3,0.6035112058992702,0.585209209711052,-0.018301996188218216,0.0017561150309234753,0.018301996188218216,0.0017561150309234753,0.6240343391895294,0.006361302181927298,5,both_corr
IG,complexity,sparseness,gaussian_noise,5,0.6035112058992702,0.5778148422284006,-0.025696363670869516,0.0026180193261446344,0.025696363670869516,0.0026180193261446344,0.663345468044281,0.005195144967667187,5,both_corr
IG,faithfulness,corr,brightness,1,0.0359724322343827,0.0357430448646861,-0.00022938736969660005,0.0056398916152802635,0.003908505240592679,0.003574721544281943,0.15998739004135132,0.00172528249630652,5,both_corr
IG,faithfulness,corr,brightness,2,0.0359724322343827,0.034786715030176364,-0.0011857172042063408,0.0046642666474688895,0.00312582292636778,0.003361447420438294,0.32395931482315066,0.0026889535944893423,5,both_corr
IG,faithfulness,corr,brightness,3,0.0359724322343827,0.03184909392084652,-0.004123338313536182,0.006725649858458329,0.006553350322040979,0.00357823476370424,0.4640782833099365,0.004003011758068796,5,both_corr
IG,faithfulness,corr,brightness,5,0.0359724322343827,0.02612798305785246,-0.009844449176530242,0.00848145566501508,0.0106302936281108,0.007198794094111091,0.7201931297779083,0.002434534782352413,5,both_corr
IG,faithfulness,corr,fog,1,0.0359724322343827,0.0420013353197775,0.0060289030853948,0.007571622035113666,0.0078699722634804,0.0050342299782622155,0.1559840679168701,0.0029284325231166246,5,both_corr
IG,faithfulness,corr,fog,2,0.0359724322343827,0.04743931370703848,0.011466881472655777,0.006124225530883526,0.011466881472655777,0.006124225530883526,0.3167647957801819,0.005841354497392563,5,both_corr
IG,faithfulness,corr,fog,3,0.0359724322343827,0.05025310529875106,0.01428067306436836,0.0046116135986805085,0.01428067306436836,0.0046116135986805085,0.4321539282798767,0.007067935277472944,5,both_corr
IG,faithfulness,corr,fog,5,0.0359724322343827,0.07073088485291848,0.03475845261853579,0.011937726810015517,0.03475845261853579,0.011937726810015517,0.6741124033927918,0.0033266682351705914,5,both_corr
IG,faithfulness,corr,gaussian_noise,1,0.0359724322343827,0.06257645474240195,0.026604022508019236,0.003627139542464685,0.026604022508019236,0.003627139542464685,0.5026425361633301,0.00628498107799309,5,both_corr
IG,faithfulness,corr,gaussian_noise,2,0.0359724322343827,0.0805774254994286,0.0446049932650459,0.013433761176819875,0.0446049932650459,0.013433761176819875,0.5777224540710449,0.004612445330177367,5,both_corr
IG,faithfulness,corr,gaussian_noise,3,0.0359724322343827,0.07751208406209023,0.04153965182770752,0.009660819147494101,0.04153965182770752,0.009660819147494101,0.6240343391895294,0.006361302181927298,5,both_corr
IG,faithfulness,corr,gaussian_noise,5,0.0359724322343827,0.06944956697010735,0.03347713473572465,0.011352256419194648,0.03347713473572465,0.011352256419194648,0.663345468044281,0.005195144967667187,5,both_corr
