explainer,corruption,severity,zone,share_mean,share_sd,n_seeds
GradCAM,brightness,1,Expected Failure,0.008,0.0009999999999999996,5
GradCAM,brightness,1,Robust,0.8603999999999999,0.01225969004502153,5
GradCAM,brightness,1,Silent Drift,0.0624,0.005941380311005175,5
GradCAM,brightness,1,Stubborn Failure,0.0692,0.007085195833567338,5
GradCAM,brightness,2,Expected Failure,0.0158,0.005449770637375485,5
GradCAM,brightness,2,Robust,0.7914000000000001,0.011326958991715305,5
GradCAM,brightness,2,Silent Drift,0.12279999999999999,0.006379655163094638,5
GradCAM,brightness,2,Stubborn Failure,0.07,0.007280109889280519,5
GradCAM,brightness,3,Expected Failure,0.026000000000000002,0.004062019202317982,5
GradCAM,brightness,3,Robust,0.7295999999999999,0.015339491516996262,5
GradCAM,brightness,3,Silent Drift,0.1756,0.010807404868885042,5
GradCAM,brightness,3,Stubborn Failure,0.0688,0.009833615815151613,5
GradCAM,brightness,5,Expected Failure,0.0654,0.004722287581247035,5
GradCAM,brightness,5,Robust,0.5602,0.01437706506906047,5
GradCAM,brightness,5,Silent Drift,0.3016,0.01064424727258815,5
GradCAM,brightness,5,Stubborn Failure,0.0728,0.012029131306956455,5
GradCAM,fog,1,Expected Failure,0.011399999999999999,0.001140175425099138,5
GradCAM,fog,1,Robust,0.791,0.005099019513592805,5
GradCAM,fog,1,Silent Drift,0.1248,0.006833739825307962,5
GradCAM,fog,1,Stubborn Failure,0.0728,0.007049822692805829,5
GradCAM,fog,2,Expected Failure,0.0382,0.0053103672189407,5
GradCAM,fog,2,Robust,0.6452,0.009934787365615842,5
GradCAM,fog,2,Silent Drift,0.2488,0.013217412757419665,5
GradCAM,fog,2,Stubborn Failure,0.0678,0.004438468204234429,5
GradCAM,fog,3,Expected Failure,0.0682,0.00967987603226405,5
GradCAM,fog,3,Robust,0.5286000000000001,0.021858636736997138,5
GradCAM,fog,3,Silent Drift,0.3328,0.023721298446754555,5
GradCAM,fog,3,Stubborn Failure,0.0704,0.0035777087639996593,5
GradCAM,fog,5,Expected Failure,0.263,0.010793516572461458,5
GradCAM,fog,5,Robust,0.259,0.008276472678623428,5
GradCAM,fog,5,Silent Drift,0.3748,0.012774975538137053,5
GradCAM,fog,5,Stubborn Failure,0.1032,0.005167204273105524,5
GradCAM,gaussian_noise,1,Expected Failure,0.08940000000000001,0.0056833088953531265,5
GradCAM,gaussian_noise,1,Robust,0.533,0.013266499161421601,5
GradCAM,gaussian_noise,1,Silent Drift,0.3088,0.010158740079360231,5
GradCAM,gaussian_noise,1,Stubborn Failure,0.0688,0.006833739825307953,5
GradCAM,gaussian_noise,2,Expected Failure,0.21680000000000002,0.021718655575334304,5
GradCAM,gaussian_noise,2,Robust,0.3452,0.018088670487352014,5
GradCAM,gaussian_noise,2,Silent Drift,0.3492,0.007328028384224484,5
GradCAM,gaussian_noise,2,Stubborn Failure,0.0888,0.01089495295997188,5
GradCAM,gaussian_noise,3,Expected Failure,0.3932,0.014237275020171511,5
GradCAM,gaussian_noise,3,Robust,0.21080000000000002,0.01035374328443582,5
GradCAM,gaussian_noise,3,Silent Drift,0.2994,0.012660963628413117,5
GradCAM,gaussian_noise,3,Stubborn Failure,0.09659999999999999,0.007300684899377594,5
GradCAM,gaussian_noise,5,Expected Failure,0.5544,0.014993331851192993,5
GradCAM,gaussian_noise,5,Robust,0.1348,0.018116291011131387,5
GradCAM,gaussian_noise,5,Silent Drift,0.217,0.01305756485720059,5
GradCAM,gaussian_noise,5,Stubborn Failure,0.0938,0.009757048734120378,5
IG,brightness,1,Robust,0.9228,0.007854934754662188,5
IG,brightness,1,Stubborn Failure,0.0772,0.007854934754662191,5
IG,brightness,2,Robust,0.9141999999999999,0.008258329128825044,5
IG,brightness,2,Stubborn Failure,0.0858,0.008258329128825034,5
IG,brightness,3,Expected Failure,0.0016,0.0008944271909999159,5
IG,brightness,3,Robust,0.9004,0.007765307463326884,5
IG,brightness,3,Silent Drift,0.0048000000000000004,0.0013038404810405296,5
IG,brightness,3,Stubborn Failure,0.09319999999999999,0.007791020472312983,5
IG,brightness,5,Expected Failure,0.0742,0.012029131306956459,5
IG,brightness,5,Robust,0.471,0.01378404875209019,5
IG,brightness,5,Silent Drift,0.39080000000000004,0.01082589488217949,5
IG,brightness,5,Stubborn Failure,0.064,0.005244044240850758,5
IG,fog,1,Robust,0.9158000000000002,0.006140032573203531,5
IG,fog,1,Stubborn Failure,0.0842,0.006140032573203499,5
IG,fog,2,Expected Failure,0.001,0.0,1
IG,fog,2,Robust,0.8939999999999999,0.007245688373094719,5
IG,fog,2,Stubborn Failure,0.1058,0.00697853852894716,5
IG,fog,3,Expected Failure,0.0073999999999999995,0.0026076809620810596,5
IG,fog,3,Robust,0.8582000000000001,0.012153188881935494,5
IG,fog,3,Silent Drift,0.0032,0.002280350850198276,5
IG,fog,3,Stubborn Failure,0.1312,0.010329569206893383,5
IG,fog,5,Expected Failure,0.1502,0.009038805230781342,5
IG,fog,5,Robust,0.526,0.020087309426600697,5
IG,fog,5,Silent Drift,0.1078,0.010134100848126583,5
IG,fog,5,Stubborn Failure,0.21600000000000003,0.013674794331177336,5
IG,gaussian_noise,1,Expected Failure,0.009600000000000001,0.0011401754250991375,5
IG,gaussian_noise,1,Robust,0.8272,0.012696456198483119,5
IG,gaussian_noise,1,Silent Drift,0.014599999999999998,0.004774934554525328,5
IG,gaussian_noise,1,Stubborn Failure,0.1486,0.01092245393673052,5
IG,gaussian_noise,2,Expected Failure,0.06420000000000001,0.005310367218940704,5
IG,gaussian_noise,2,Robust,0.633,0.024341322889276214,5
IG,gaussian_noise,2,Silent Drift,0.061399999999999996,0.007536577472566712,5
IG,gaussian_noise,2,Stubborn Failure,0.2414,0.013520355024924458,5
IG,gaussian_noise,3,Expected Failure,0.19039999999999999,0.01874299869284529,5
IG,gaussian_noise,3,Robust,0.3938,0.018820201911775546,5
IG,gaussian_noise,3,Silent Drift,0.11639999999999999,0.007021395872616782,5
IG,gaussian_noise,3,Stubborn Failure,0.2994,0.00909945053286187,5
IG,gaussian_noise,5,Expected Failure,0.3234,0.030088203668547583,5
IG,gaussian_noise,5,Robust,0.23520000000000002,0.011122050170719421,5
IG,gaussian_noise,5,Silent Drift,0.1166,0.00907193474403338,5
IG,gaussian_noise,5,Stubborn Failure,0.32480000000000003,0.014131525041551612,5
